Building Name,Cleaned Name,Latitude,Longitude,Full Address
Cafe Ventanas,CAFE VENTANAS,32.8860312,-117.242574,"10006 Scholars Dr N, La Jolla, CA 92093, USA"
Cala,CALA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Camelot,CAMELOT,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Camp Snoopy Dean's Residence,CAMP SNOOPY DEAN'S RESIDENCE,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 703,CAMP SNOOPY RESIDENCE HALL 703,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 704,CAMP SNOOPY RESIDENCE HALL 704,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 705,CAMP SNOOPY RESIDENCE HALL 705,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 706,CAMP SNOOPY RESIDENCE HALL 706,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 707,CAMP SNOOPY RESIDENCE HALL 707,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 708,CAMP SNOOPY RESIDENCE HALL 708,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Residence Hall 709,CAMP SNOOPY RESIDENCE HALL 709,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Camp Snoopy Residence Hall 710,CAMP SNOOPY RESIDENCE HALL 710,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Camp Snoopy Student Services,CAMP SNOOPY STUDENT SERVICES,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
Campus Emergency Services Building,CAMPUS EMERGENCY SERVICES BUILDING,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Campus Point Parking East,CAMPUS POINT PARKING EAST,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Campus Point Parking West,CAMPUS POINT PARKING WEST,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Campus Services Complex - Building A,CAMPUS SERVICES COMPLEX   BUILDING A,32.8822204,-117.2295347,"Campus Services Complex - Building A, Greenhouse Ln, La Jolla, CA 92093, USA"
Campus Services Complex - Building C,CAMPUS SERVICES COMPLEX   BUILDING C,32.8830737,-117.2297184,"Campus Services Complex - Bldg C, Greenhouse Ln, La Jolla, CA 92093, USA"
Campus Services Complex - Building D,CAMPUS SERVICES COMPLEX   BUILDING D,32.8837256,-117.2297184,"Campus Services Complex - Bldg D, 9821 Greenhouse Ln, La Jolla, CA 92093, USA"
Campus Services Complex - Building H,CAMPUS SERVICES COMPLEX   BUILDING H,32.8835243,-117.2295091,"Campus Services Complex - Building H, 9817 Greenhouse Ln, La Jolla, CA 92093, USA"
Campus Services Complex - Trailer 5,CAMPUS SERVICES COMPLEX   TRAILER 5,32.8839901,-117.2292864,"Greenhouse Ln, La Jolla, CA 92093, USA"
Canyon Vista,CANYON VISTA,32.8839947,-117.2332494,"9821 Equality Ln, La Jolla, CA 92093, USA"
Canyonview Aquatic and Climbing Wall Facility,CANYONVIEW AQUATIC AND CLIMBING WALL FACILITY,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Canyonview Filter Facility,CANYONVIEW FILTER FACILITY,32.8805258,-117.2318085,"3302 Voigt Dr, La Jolla, CA 92093, USA"
Canyonview Rec/Athletics Administration,CANYONVIEW REC/ATHLETICS ADMINISTRATION,32.8805258,-117.2318085,"3302 Voigt Dr, La Jolla, CA 92093, USA"
Capa,CAPA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Career Services Center,CAREER SERVICES CENTER,32.8783855,-117.2379298,"9421 Mandeville Ln, La Jolla, CA 92093, USA"
Catalyst,CATALYST,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Cellular and Molecular Medicine East,CELLULAR AND MOLECULAR MEDICINE EAST,32.8763691,-117.2376781,"Cellular and Molecular Medicine East (Cmme), San Diego, CA 92161, USA"
Center for Coastal Studies,CENTER FOR COASTAL STUDIES,32.8663539,-117.2539992,"2130 Naga Way, La Jolla, CA 92037, USA"
Center for Memory and Recording Research,CENTER FOR MEMORY AND RECORDING RESEARCH,32.88049,-117.2354682,"3164 Matthews Ln, La Jolla, CA 92093, USA"
Center for Neural Circuits and Behavior,CENTER FOR NEURAL CIRCUITS AND BEHAVIOR,32.8757471,-117.2385281,"9375 Gilman Dr, La Jolla, CA 92093, USA"
Center for Novel Therapeutics,CENTER FOR NOVEL THERAPEUTICS,32.8769868,-117.2208431,"9310 Athena Cir, La Jolla, CA 92037, USA"
Center for Translational Imaging and Precision Medicine,CENTER FOR TRANSLATIONAL IMAGING AND PRECISION MEDICINE,32.8790587,-117.2204435,"9427 Health Sciences Dr, La Jolla, CA 92037, USA"
Center Hall,CENTER HALL,32.8778021,-117.2372517,"Center Hall, San Diego, CA 92161, USA"
Central Research Services,CENTRAL RESEARCH SERVICES,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Central Utilities Plant,CENTRAL UTILITIES PLANT,32.87419570000001,-117.2394694,"9239 Herbert York Ln, La Jolla, CA 92093, USA"
Central Utilities Plant Expansion,CENTRAL UTILITIES PLANT EXPANSION,32.87419570000001,-117.2394694,"9239 Herbert York Ln, La Jolla, CA 92093, USA"
Challenger Hall,CHALLENGER HALL,32.8741459,-117.2423273,"9219 S Scholars Dr, La Jolla, CA 92093, USA"
Charles David Keeling Apartments 1,CHARLES DAVID KEELING APARTMENTS 1,32.8742844,-117.2433087,"Theatre District Dr, La Jolla, CA 92161, USA"
Charles David Keeling Apartments 2,CHARLES DAVID KEELING APARTMENTS 2,32.8742844,-117.2433087,"Theatre District Dr, La Jolla, CA 92161, USA"
Charles David Keeling Apartments 3,CHARLES DAVID KEELING APARTMENTS 3,32.8742844,-117.2433087,"Theatre District Dr, La Jolla, CA 92161, USA"
Che Cafe,CHE CAFE,32.872927,-117.2393161,"3035 Theatre District Dr, La Jolla, CA 92093, USA"
Clinical Research Facility,CLINICAL RESEARCH FACILITY,32.8745206,-117.23422,"3189 Biomedical Sciences Wy, La Jolla, CA 92093, USA"
Clinical Teaching Facility,CLINICAL TEACHING FACILITY,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Coalition,COALITION,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Cognitive Science Building,COGNITIVE SCIENCE BUILDING,32.8805813,-117.2395409,"9500 Gilman Dr, La Jolla, CA 92037, USA"
Collective,COLLECTIVE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Communication Building,COMMUNICATION BUILDING,32.8814907,-117.2402833,"3010 Exploration Dr, La Jolla, CA 92093, USA"
Communications Building 1,COMMUNICATIONS BUILDING 1,32.8814907,-117.2402833,"3010 Exploration Dr, La Jolla, CA 92093, USA"
Communications Building 2,COMMUNICATIONS BUILDING 2,32.8814907,-117.2402833,"3010 Exploration Dr, La Jolla, CA 92093, USA"
Computer Science and Engineering Building,COMPUTER SCIENCE AND ENGINEERING BUILDING,32.88180060000001,-117.2335235,"3235 Voigt Dr, La Jolla, CA 92093, USA"
Conrad Prebys Music Center,CONRAD PREBYS MUSIC CENTER,32.8778953,-117.2347713,"Conrad Prebys Music Center, San Diego, CA 92161, USA"
Copley International Conference Center,COPLEY INTERNATIONAL CONFERENCE CENTER,32.8850016,-117.2412938,"9875 International Ln, La Jolla, CA 92093, USA"
Corallina,CORALLINA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
CPD Modular Office 1,CPD MODULAR OFFICE 1,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
CPD Modular Office 2,CPD MODULAR OFFICE 2,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
CPD Modular Office 3,CPD MODULAR OFFICE 3,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Crest Chateau,CREST CHATEAU,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Cresta,CRESTA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
CSC Shops,CSC SHOPS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Cuzco House East,CUZCO HOUSE EAST,32.8846278,-117.241845,"Cuzco House, Scholars Dr N, La Jolla, CA 92093, USA"
Cuzco House West,CUZCO HOUSE WEST,32.8846278,-117.241845,"Cuzco House, Scholars Dr N, La Jolla, CA 92093, USA"
Deep Sea Drilling Building C,DEEP SEA DRILLING BUILDING C,32.8670345,-117.2513582,"2225 Downwind Way, La Jolla, CA 92037, USA"
Deep Sea Drilling East,DEEP SEA DRILLING EAST,32.8673733,-117.2511316,"2245, La Jolla, CA 92037, USA"
Deep Sea Drilling West,DEEP SEA DRILLING WEST,32.8675703,-117.2517554,"2215 Downwind Way, La Jolla, CA 92037, USA"
Design and Innovation Building,DESIGN AND INNOVATION BUILDING,32.8794117,-117.2322377,"9510 Innovation Ln, La Jolla, CA 92093, USA"
Dialogue,DIALOGUE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Discovery Hall,DISCOVERY HALL,32.8740494,-117.2419356,"9225 S Scholars Dr, La Jolla, CA 92093, USA"
Douglas Apartments,DOUGLAS APARTMENTS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Early Childhood Education Center A,EARLY CHILDHOOD EDUCATION CENTER A,32.8738894,-117.2232901,"3815 Mesa Pk Ct, La Jolla, CA 92093, USA"
Early Childhood Education Center B,EARLY CHILDHOOD EDUCATION CENTER B,32.87392,-117.22287,"3835 Mesa Pk Ct, La Jolla, CA 92093, USA"
Early Childhood Education Center C,EARLY CHILDHOOD EDUCATION CENTER C,32.87369,-117.2234,"3823 Mesa Pk Ct, La Jolla, CA 92093, USA"
Early Childhood Education Center D,EARLY CHILDHOOD EDUCATION CENTER D,32.87367,-117.22287,"3833 Mesa Pk Ct, La Jolla, CA 92093, USA"
Earth Hall,EARTH HALL,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
East Campus Medical Center Central Plant,EAST CAMPUS MEDICAL CENTER CENTRAL PLANT,32.8773757,-117.2250874,"9470 Medical Ctr Dr, La Jolla, CA 92037, USA"
East Campus Office Building,EAST CAMPUS OFFICE BUILDING,32.8765479,-117.2275567,"East Campus Office Building, 9444 Medical Ctr Dr, La Jolla, CA 92037, USA"
East Campus Parking,EAST CAMPUS PARKING,32.8823784,-117.222782,"La Jolla, CA 92037, USA"
East Campus Substation,EAST CAMPUS SUBSTATION,32.8823784,-117.222782,"La Jolla, CA 92037, USA"
East Campus Utilities Plant,EAST CAMPUS UTILITIES PLANT,32.8803106,-117.221777,"East Campus Utility Plant, 9691 Campus Point Dr, La Jolla, CA 92037, USA"
East Campus Utilities Plant Expansion,EAST CAMPUS UTILITIES PLANT EXPANSION,32.8803106,-117.221777,"East Campus Utility Plant, 9691 Campus Point Dr, La Jolla, CA 92037, USA"
East Environmental Bunker,EAST ENVIRONMENTAL BUNKER,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
East Tower,EAST TOWER,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Eckart Building,ECKART BUILDING,32.8671432,-117.2525847,"8755 Biological Grade, La Jolla, CA 92037, USA"
Economics Building,ECONOMICS BUILDING,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Eelgrass,EELGRASS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - Canyonview,EHS EMERGENCY CONTAINER   CANYONVIEW,32.8805258,-117.2318085,"3302 Voigt Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - East Campus,EHS EMERGENCY CONTAINER   EAST CAMPUS,32.8823784,-117.222782,"La Jolla, CA 92037, USA"
EHS Emergency Container - Eucalyptus Point,EHS EMERGENCY CONTAINER   EUCALYPTUS POINT,32.8817496,-117.2400316,"Eucalyptus Point, San Diego, CA 92161, USA"
EHS Emergency Container - Galbraith Hall,EHS EMERGENCY CONTAINER   GALBRAITH HALL,32.8737102,-117.2409723,"Galbraith Hall, San Diego, CA 92161, USA"
EHS Emergency Container - Gliderport,EHS EMERGENCY CONTAINER   GLIDERPORT,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - Mesa Housing,EHS EMERGENCY CONTAINER   MESA HOUSING,32.8743495,-117.2205048,"9260 C Mesa, La Jolla, CA 92037, USA"
EHS Emergency Container - Muir Fields,EHS EMERGENCY CONTAINER   MUIR FIELDS,32.876944,-117.2428228,"San Diego, CA 92161, USA"
EHS Emergency Container - North Campus,EHS EMERGENCY CONTAINER   NORTH CAMPUS,32.8886693,-117.2404211,"La Jolla, CA 92093, USA"
EHS Emergency Container - Revelle,EHS EMERGENCY CONTAINER   REVELLE,32.8753781,-117.2418523,"9500 Gilman Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - RIMAC,EHS EMERGENCY CONTAINER   RIMAC,32.8851041,-117.2404977,"9860 Hopkins Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - School of Medicine,EHS EMERGENCY CONTAINER   SCHOOL OF MEDICINE,32.8746036,-117.2359809,"9500 Gilman Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - SIO,EHS EMERGENCY CONTAINER   SIO,32.8681401,-117.2503233,"8622 Kennel Way, La Jolla, CA 92037, USA"
EHS Emergency Container - Student Health,EHS EMERGENCY CONTAINER   STUDENT HEALTH,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
EHS Emergency Container - Visual Arts,EHS EMERGENCY CONTAINER   VISUAL ARTS,32.8791565,-117.2341341,"9475 Russell Ln, La Jolla, CA 92093, USA"
Electric Shop,ELECTRIC SHOP,32.8825795,-117.2294088,"9784 Campus Services Wy, La Jolla, CA 92093, USA"
Electromagnetics Research Facility,ELECTROMAGNETICS RESEARCH FACILITY,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Elliott Field Station Bloor Building,ELLIOTT FIELD STATION BLOOR BUILDING,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Elliott Field Station Canine Building 4 (East),ELLIOTT FIELD STATION CANINE BUILDING 4,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Elliott Field Station Canine Building 5 (West),ELLIOTT FIELD STATION CANINE BUILDING 5,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Elliott Field Station J1 (West),ELLIOTT FIELD STATION J1,32.8932681,-117.1049612,"10201 Pomerado Rd, San Diego, CA 92131, USA"
Elliott Field Station J2 (East),ELLIOTT FIELD STATION J2,32.8932681,-117.1049612,"10201 Pomerado Rd, San Diego, CA 92131, USA"
Elliott Field Station Quonset,ELLIOTT FIELD STATION QUONSET,32.8932681,-117.1049612,"10201 Pomerado Rd, San Diego, CA 92131, USA"
Elliott Field Station Rabbit Building 1 (East),ELLIOTT FIELD STATION RABBIT BUILDING 1,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Elliott Field Station Rabbit Building 2 (West),ELLIOTT FIELD STATION RABBIT BUILDING 2,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Elliott Field Station Research Laboratory,ELLIOTT FIELD STATION RESEARCH LABORATORY,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Elliott Field Station SOM Trailer,ELLIOTT FIELD STATION SOM TRAILER,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Elliott Field Station Storehouse,ELLIOTT FIELD STATION STOREHOUSE,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Elliott Field Station Trailer 1,ELLIOTT FIELD STATION TRAILER 1,32.8932681,-117.1049612,"10201 Pomerado Rd, San Diego, CA 92131, USA"
Elliott Field Station Trailer 4,ELLIOTT FIELD STATION TRAILER 4,32.8932681,-117.1049612,"10201 Pomerado Rd, San Diego, CA 92131, USA"
Elliott Field Station Trailer 5,ELLIOTT FIELD STATION TRAILER 5,32.8932681,-117.1049612,"10201 Pomerado Rd, San Diego, CA 92131, USA"
Emergency Department Addition,EMERGENCY DEPARTMENT ADDITION,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Empower,EMPOWER,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Engineering Building Unit II,ENGINEERING BUILDING UNIT II,32.8811569,-117.2330257,"3245 Voigt Dr, La Jolla, CA 92093, USA"
Environmental Management Facility,ENVIRONMENTAL MANAGEMENT FACILITY,32.8842982,-117.2296542,"9835 Greenhouse Ln, La Jolla, CA 92093, USA"
Environmental Management Facility 2,ENVIRONMENTAL MANAGEMENT FACILITY 2,32.8842982,-117.2296542,"9835 Greenhouse Ln, La Jolla, CA 92093, USA"
Epstein Family Amphitheater,EPSTEIN FAMILY AMPHITHEATER,32.8792506,-117.233073,"9480 Innovation Ln, La Jolla, CA 92093, USA"
ERC Administration North,ERC ADMINISTRATION NORTH,32.88613280000001,-117.2420287,"La Jolla, CA 92093, USA"
ERC Administration South,ERC ADMINISTRATION SOUTH,32.88613280000001,-117.2420287,"La Jolla, CA 92093, USA"
ERC Laundry East,ERC LAUNDRY EAST,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
ERC Laundry South,ERC LAUNDRY SOUTH,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
ERC Pump House,ERC PUMP HOUSE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
ESEC Office Trailer North,ESEC OFFICE TRAILER NORTH,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
ESEC Office Trailer South,ESEC OFFICE TRAILER SOUTH,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
ESEC Office Trailer West,ESEC OFFICE TRAILER WEST,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Estancia La Jolla,ESTANCIA LA JOLLA,32.8849021,-117.2442705,"Estancia La Jolla, San Diego, CA 92037, USA"
Eucalyptus Point,EUCALYPTUS POINT,32.8814919,-117.2394106,"Eucalyptus Point, San Diego, CA 92161, USA"
Europe Hall,EUROPE HALL,32.8854422,-117.2434779,"9922 Scholars Dr N, La Jolla, CA 92093, USA"
Evergreen,EVERGREEN,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Exchange,EXCHANGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building A,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING A,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building B,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING B,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building C,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING C,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building C Addition,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING C ADDITION,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building D,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING D,32.8784253,-117.2311977,"Building D, Matthews Apartments, 747, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building E,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING E,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building F,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING F,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building G,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING G,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building H,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING H,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building J,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING J,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building K,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING K,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building L,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING L,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building M,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING M,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building N,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING N,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building O - East,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING O   EAST,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Extended Studies and Public Programs - Building O - West,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING O   WEST,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building P,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING P,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building X,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING X,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building Y,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING Y,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Extended Studies and Public Programs - Building Z,EXTENDED STUDIES AND PUBLIC PROGRAMS   BUILDING Z,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Faculty Club Expansion,FACULTY CLUB EXPANSION,32.879255,-117.239585,"9500 Gilman Drive MC 0121, 3035 Muir Ln, La Jolla, CA 92093, USA"
Fir,FIR,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Fireside Lounge,FIRESIDE LOUNGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Fleet Services,FLEET SERVICES,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Foodworx,FOODWORX,32.878797,-117.230439,"9457 Innovation Ln, La Jolla, CA 92093, USA"
Foodworx Dining Room,FOODWORX DINING ROOM,32.878797,-117.230439,"9457 Innovation Ln, La Jolla, CA 92093, USA"
Frankfurter Hall,FRANKFURTER HALL,32.8846291,-117.2329765,"9851 Equality Ln, La Jolla, CA 92093, USA"
Franklin Antonio Hall,FRANKLIN ANTONIO HALL,32.8835046,-117.2350009,"Franklin Antonio Hall, San Diego, CA 92093, USA"
Fred N. Spiess Hall,FRED N. SPIESS HALL,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Freedom,FREEDOM,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Frog House,FROG HOUSE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Galathea Hall,GALATHEA HALL,32.8738934,-117.2416565,"9223 S Scholars Dr, La Jolla, CA 92093, USA"
Galbraith Hall,GALBRAITH HALL,32.8737102,-117.2409723,"Galbraith Hall, San Diego, CA 92161, USA"
Geisel Library,GEISEL LIBRARY,32.881178,-117.2375923,"9701 Hopkins Dr, La Jolla, CA 92093, USA"
Geneva Hall East,GENEVA HALL EAST,32.8855413,-117.2420642,"9956 International Ln, La Jolla, CA 92093, USA"
Geneva Hall West,GENEVA HALL WEST,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
Geodesic Dome 1,GEODESIC DOME 1,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Geodesic Dome 2,GEODESIC DOME 2,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
George Palade Laboratories for Cellular and Molecular Medicine,GEORGE PALADE LABORATORIES FOR CELLULAR AND MOLECULAR MEDICINE,32.876364,-117.2384095,"9450 Gilman Dr, La Jolla, CA 92093, USA"
Gildred Latin American Studies Building,GILDRED LATIN AMERICAN STUDIES BUILDING,32.8852814,-117.2410827,"9909 International Ln, La Jolla, CA 92093, USA"
Gilman Parking,GILMAN PARKING,32.8776194,-117.2336633,"252 Russell Ln, La Jolla, CA 92093, USA"
Goldberg Apartments,GOLDBERG APARTMENTS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Goody's Place,GOODY'S PLACE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Grassroots,GRASSROOTS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Great Hall,GREAT HALL,32.883903,-117.242135,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Greenhouse 1,GREENHOUSE 1,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Greenhouse 2,GREENHOUSE 2,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Greenhouse 3,GREENHOUSE 3,32.88573,-117.22979,"9883 Greenhouse Ln, La Jolla, CA 92093, USA"
Greenhouse 4,GREENHOUSE 4,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Greenwich Drive Parking,GREENWICH DRIVE PARKING,32.8539707,-117.1843277,"Greenwich Dr, San Diego, CA 92122, USA"
Guava,GUAVA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Guava Extension,GUAVA EXTENSION,32.8742816,-117.2342928,"3187 Biomedical Sciences Wy, La Jolla, CA 92093, USA"
Halicioglu Data Science Institute,HALICIOGLU DATA SCIENCE INSTITUTE,32.8805631,-117.2338242,"3234 Matthews Ln, La Jolla, CA 92093, USA"
Hamilton Glaucoma and Jacobs Retina Center,HAMILTON GLAUCOMA AND JACOBS RETINA CENTER,32.8794862,-117.2229646,"9415 Campus Point Dr, La Jolla, CA 92037, USA"
Harlan Hall,HARLAN HALL,32.8848017,-117.2323582,"9860 Justice Ln, La Jolla, CA 92093, USA"
HDH Emergency Container - Brown Hall,HDH EMERGENCY CONTAINER   BROWN HALL,32.8834737,-117.2322678,"Brown Hall, Justice Ln, La Jolla, CA 92093, USA"
HDH Emergency Container - Camp Snoopy Residence Halls,HDH EMERGENCY CONTAINER   CAMP SNOOPY RESIDENCE HALLS,32.8779363,-117.2328973,"La Jolla, CA 92093, USA"
HDH Emergency Container - Coast Apartments,HDH EMERGENCY CONTAINER   COAST APARTMENTS,32.8697562,-117.2474028,"La Jolla, CA 92037, USA"
HDH Emergency Container - Foodworx,HDH EMERGENCY CONTAINER   FOODWORX,32.878797,-117.230439,"9457 Innovation Ln, La Jolla, CA 92093, USA"
